name,emirate,coast_side,hormuz_dependent,type,role,primary_routes,latitude,longitude,coord_precision
Jebel Ali Port,Dubai,Gulf,True,Container / transshipment,Largest port in the Middle East; DP World flagship; ~9th-busiest container port globally. Major Asia-Europe transshipment hub.,East Asia (China) | South Asia (India) | Europe | East Africa | Americas,25.0236111,55.0402778,exact
Khalifa Port,Abu Dhabi,Gulf,True,Container / industrial,Abu Dhabi flagship deep-water port (AD Ports/KIZAD); semi-automated; containers plus petrochemical & aluminium exports.,East Asia | Europe | US East Coast | Indian subcontinent,24.8099016,54.6494965,exact
Zayed Port,Abu Dhabi,Gulf,True,Cruise / general & bulk cargo,"Older Abu Dhabi city port; container ops moved to Khalifa; now cruise, general and breakbulk cargo.",Regional Gulf | breakbulk,24.5184068,54.3764133,exact
Port Rashid,Dubai,Gulf,True,Cruise (former cargo),Dubai's original port; cargo shifted to Jebel Ali; now primarily a cruise terminal.,Cruise | historic Gulf trade,25.284755,55.2756505,exact
Port of Fujairah,Fujairah,Oman,False,Bunkering / oil storage,World's #2 bunkering hub and major oil-storage terminal. Sits OUTSIDE Hormuz on the Gulf of Oman - the strategic release valve when the strait is disrupted. Most important port for disruption early-warning.,Global tanker traffic | oil to Asia & Europe | bunkering,25.1727756,56.3635322,exact
Khor Fakkan Container Terminal,Sharjah,Oman,False,Container / transshipment,Deep natural harbour; major container transshipment hub; bypasses Hormuz on the Gulf of Oman.,Asia-Europe mainline | feeder services to Gulf ports,25.3526481,56.367736,exact
Khalid Port,Sharjah,Gulf,True,Container / general cargo,Sharjah's main Gulf-coast container and general cargo port.,Regional Gulf | containers,25.3609963,55.3776082,exact
Hamriyah Port,Sharjah,Gulf,True,Free zone / oil & gas / industrial,"Free-zone port; oil & gas services, petrochemicals, heavy industrial exports.",Petrochemicals | industrial | regional,25.4666,55.49,approximate
Ajman Port,Ajman,Gulf,True,General cargo / container,"Serves Ajman Free Zone; general cargo, containers, regional trade.",Regional Gulf | general cargo,25.4201864,55.4539514,exact
Mina Saqr,Ras Al Khaimah,Gulf,True,Bulk export,"Northernmost UAE port, closest to the strait; bulk exports - aggregates, cement, limestone (RAK building-materials).",Regional bulk | building materials to South Asia & Gulf,25.7916667,55.9533333,exact
Jebel Dhanna / Ruwais Terminal,Abu Dhabi,Gulf,True,Crude oil export terminal,Major ADNOC crude loading terminal serving Ruwais; one of the UAE's largest oil export points.,Crude to East Asia | India | Europe,24.1833,52.6167,approximate
Das Island Terminal,Abu Dhabi,Gulf,True,Crude / LNG offshore terminal,Offshore ADNOC oil & LNG export island; loads crude and liquefied gas directly for export.,"Crude & LNG to East Asia (Japan, Korea)",25.1461,52.8736,approximate
Zirku Island Terminal,Abu Dhabi,Gulf,True,Crude oil offshore terminal,Offshore crude processing and export terminal (Upper Zakum / offshore fields).,Crude to Asia,24.8667,53.0833,approximate
